"id","name_en","name_ar","name_he","slug","district_1945","subdistrict_1945","district_isr","type_special","pop_1922","pop_1931","type_1945","grp_1945","pop_1945","pal_1945","jsh_1945","change_2016","type_2016","grp_2016","pop_2016","pal_2016","jsh_2016","oth_2016","start","end","lat","lng","map_20k","id_zo","id_pr","id_as","id_old","id_pq","url_pr","url_pq_en","url_pq_ar","notes"
"78","al-Zib","الزيب","אלזִיבּ","al-zeeb","Galilee","Acre","","","","1059","Village","Palestinian","1910","1910","","Depopulated","","","","","","","","1948-05-14","33.047850","35.101429","yes","49145","785","5","2514","53","Acre/al-Zeeb","16904/al-zib","22207/الزيب",""
"79","Arab al-Ramisha","","","arab-al-ramisha","","","Northern","","","","Village","Palestinian","360","360","","Depopulated","","","","","","","","","","","no","","5998","","2515","","","","",""
"80","Arab al-Hujayrat","","","arab-al-hujayrat","","","Northern","","","","Village","Palestinian","","","","Depopulated","","","","","","","","","","","no","","6001","","2516","","","","",""
"81","Arab al-Mureisat","","","arab-al-mureisat","","","Northern","","","","Village","Palestinian","","","","Depopulated","","","","","","","","","","","no","","5999","","2517","","","","",""
"82","Arab al-Suweitat","","","arab-al-suweitat","","","Northern","","","","Village","Palestinian","","","","Depopulated","","","","","","","","","","","no","","6000","","2518","","","","",""
"83","Abu al-Fadl","أبو الفضل","אַבּו אל פַדְל","abu-al-fadl","Lydda","Ramle","","","","1565","Village","Palestinian","510","510","","Built over","","","","","","","","1948-06-01","31.944760","34.848101","yes","49429","611","42","2519","633","al-Ramla/Abu-al-Fadl","16782/abu-al-fadl","21657/أبو-الفضل",""
"84","Abu Shusha","أبو شوشة","אבּו שוּשָה","abu-shusha-ramle","Lydda","Ramle","","","603","627","Village","Palestinian","870","870","","Depopulated","","","","","","","","1948-05-14","31.857014","34.915620","yes","49491","670","46","2520","634","al-Ramla/Abu-Shusha","20609/abu-shusha","21655/أبو-شوشة",""
"85","Aqir","عاقر","עַאקִר","aqir","Lydda","Ramle","","","","1691","Village","Palestinian","2480","2480","","Built over","","","","","","","","1948-05-04","31.859210","34.820771","yes","49390","599","41","2521","635","al-Ramla/Aqir","16910/aqir","21749/عاقر",""
"86","Barfiliya","برفيلية","בַּרְפִילִיָּה","barfiliya","Lydda","Ramle","","","421","544","Village","Palestinian","730","730","","Depopulated","","","","","","","","1948-07-15","31.910417","34.987506","yes","49035","834","87","2522","636","al-Ramla/Barfiliya","16931/barfiliya","21665/برفيلية",""
"87","al-Barriyya","البرية","בַּרִיָּה","barriyya","Lydda","Ramle","","","295","388","Village","Palestinian","510","510","","Built over","","","","","","","","1948-06-10","31.888219","34.917496","yes","49037","696","65","2523","637","al-Ramla/al-Barriyya","16935/al-barriyya","21675/البرية",""
"88","Bashshit","بشيت","בַּשִית","bashshit","Lydda","Ramle","","","936","1125","Village","Palestinian","1620","1620","","Built over","","","","","","","","1948-05-11","31.823661","34.748555","yes","49039","901","44","2524","638","al-Ramla/Bashshit","16936/bashshit","21667/بشيت",""
"89","Beer Ya'aqov","بير يعقوب","באר יעקב","beer-yaaqov","Lydda","Ramle","Central","","","","Settlement","Jewish","450","","450","Remaining","Settlement","Jewish","20300","","19700","600","1907","","31.936126","34.835310","yes","","1749","","2525","715","","","",""
"90","Bet Hanan","","בית חנן","bet-hanan","Lydda","Ramle","Central","","","","Settlement","Jewish","690","","690","Remaining","Settlement","Jewish","600","","600","","1930","","31.935488","34.777102","yes","","1743","","2526","714","","","",""
"91","Khirbat Bayt Far","خربة بيت فار","חִ'רְבּת בֵּית פַאר","khirbat-bayt-far","Lydda","Ramle","","","28","26","Community","Palestinian","300","300","","Depopulated","","","","","","","","1948-07-01","31.800905","34.914869","yes","49005","1306","35","2527","672","al-Ramla/Bayt-Far,-Khirbat","17066/khirbat-bayt-far","21692/خربة-بيت-فار",""
"92","Bayt Jiz","بيت جيز","בּית גִ'יז","bayt-jiz","Lydda","Ramle","","","203","370","Village","Palestinian","550","550","","Depopulated","","","","","","","","1948-05-27","31.813151","34.953110","yes","49056","870","55","2528","639","al-Ramla/Bayt-Jiz","16955/bayt-jiz","21669/بيت-جيز",""
"93","Bayt Nabala","بيت نبالا","בֵּית נַבַּאלַא","bayt-nabala","Lydda","Ramle","","","1324","1758","Village","Palestinian","2310","2310","","Depopulated","","","","","","","","1948-07-12","31.986024","34.956388","yes","49020","877","45","2529","640","al-Ramla/Bayt-Nabala","16944/bayt-nabala","21677/بيت-نبالا",""
"94","Bayt Nuba & 'Ajanjul","عجنجول","בית נּוּבא","bayt-nuba","Lydda","Ramle","","","839","944","Village","Palestinian","1240","1240","","Depopulated","","","","","","","","1967-06-06","31.852916","35.032651","yes","52878","880","","2530","641","al-Ramla/Bayt-Nuba","16786/ajanjul","21753/عجنجول",""
"95","Bet 'Oved","بيت عوفيد","בית עובד","bet-oved","Lydda","Ramle","Central","","","","Settlement","Jewish","550","","550","Remaining","Settlement","Jewish","300","","300","","1933","","31.921676","34.772309","yes","","1750","","2531","642","","","",""
"96","Bayt Shanna","بيت شنة","בֵּית שַנָּה","bayt-shanna","Lydda","Ramle","","","","406","Village","Palestinian","210","210","","Depopulated","","","","","","","","1948-07-15","31.877426","34.987133","yes","49024","885","88","2532","643","al-Ramla/Bayt-Shanna","16953/bayt-shanna","21673/بيت-شنة",""
"97","Bayt Susin","بيت سوسين","בֵּית סוּסִין","bayt-susin","Lydda","Ramle","","","47","70","Village","Palestinian","210","210","","Depopulated","","","","","","","","1948-05-28","31.806300","34.983395","yes","49022","888","56","2533","644","al-Ramla/Bayt-Susin","16954/bayt-susin","21671/بيت-سوسين",""
"98","Ben Shemen (K.No'ar)","بيت شيمن","בן שמן (כפר נוער)","ben-shemen-knoar","Lydda","Ramle","Central","","","","Settlement","Jewish","930","","930","Remaining","Settlement","Jewish","600","","600","","1921","","31.958538","34.933937","yes","","1759","","2534","645","","","",""
"99","Bil'in","بلعين","","bilin-ramle","Lydda","Ramle","West Bank","","133","166","Village","Palestinian","210","210","","Remaining","Village","Palestinian","2177","2177","","","","","31.925976","35.071175","yes","","906","","2535","719","GeoPoints/Bil_in_906","","",""
"100","Bir Ma'in","بير معين","בִּיר מַעִין","bir-main","Lydda","Ramle","","","47","355","Village","Palestinian","510","510","","Built over","","","","","","","","1948-07-16","31.887885","35.019843","yes","49009","914","89","2536","646","al-Ramla/Bir-Ma%27in","16957/bir-main","21680/بير-معين",""
"101","Bir Salim","بيرسالم","בִּיר סַאלִם","bir-salim","Lydda","Ramle","","","","","Village","Palestinian","410","410","","Built over","","","","","","","","1948-05-01","31.926006","34.827597","yes","49010","916","43","2537","647","al-Ramla/Bir-Salim","16958/bir-salim","21678/بيرسالم",""
"102","Burdus","بدرس","","burdus","Lydda","Ramle","West Bank","","334","430","Village","Palestinian","510","510","","Remaining","Village","Palestinian","1790","1790","","","","","31.966209","34.993828","yes","","921","","2538","648","GeoPoints/Budrus_921","","",""
"103","al-Burj","البرج","אלבֻּרְג'","al-burj-ramle","Lydda","Ramle","","","344","370","Village","Palestinian","480","480","","Built over","","","","","","","","1948-07-16","31.902044","35.019679","yes","49045","1008","90","2539","649","al-Ramla/al-Burj","16799/al-burj","21663/البرج",""
